id,id1,Gender1,Age1,SibSp1,SurvRate1,NumPassengers1,id2,Gender2,Age2,SibSp2,SurvRate2,NumPassengers2
1,1,all,all,all,38,891,2,male,all,all,18,577
2,1,all,all,all,38,891,18,female,all,all,74,314
3,2,male,all,all,18,577,3,male,child,all,33,71
4,2,male,all,all,18,577,6,male,young,all,15,180
5,2,male,all,all,18,577,9,male,middle,all,22,129
6,2,male,all,all,18,577,12,male,old,all,18,54
7,2,male,all,all,18,577,15,male,older,all,10,19
8,2,male,all,all,18,577,18,female,all,all,74,314
9,3,male,child,all,33,71,4,male,child,hassibsp,34,43
10,3,male,child,all,33,71,5,male,child,nosibsp,32,28
11,3,male,child,all,33,71,6,male,young,all,15,180
12,3,male,child,all,33,71,9,male,middle,all,22,129
13,3,male,child,all,33,71,12,male,old,all,18,54
14,3,male,child,all,33,71,15,male,older,all,10,19
15,3,male,child,all,33,71,19,female,child,all,67,68
16,4,male,child,hassibsp,34,43,5,male,child,nosibsp,32,28
17,4,male,child,hassibsp,34,43,7,male,young,hassibsp,17,34
18,4,male,child,hassibsp,34,43,10,male,middle,hassibsp,17,34
19,4,male,child,hassibsp,34,43,13,male,old,hassibsp,46,13
20,4,male,child,hassibsp,34,43,16,male,older,hassibsp,0,2
21,4,male,child,hassibsp,34,43,20,female,child,hassibsp,57,35
22,5,male,child,nosibsp,32,28,8,male,young,nosibsp,15,146
23,5,male,child,nosibsp,32,28,11,male,middle,nosibsp,24,95
24,5,male,child,nosibsp,32,28,14,male,old,nosibsp,9,41
25,5,male,child,nosibsp,32,28,17,male,older,nosibsp,11,17
26,5,male,child,nosibsp,32,28,21,female,child,nosibsp,78,33
27,6,male,young,all,15,180,7,male,young,hassibsp,17,34
28,6,male,young,all,15,180,8,male,young,nosibsp,15,146
29,6,male,young,all,15,180,9,male,middle,all,22,129
30,6,male,young,all,15,180,12,male,old,all,18,54
31,6,male,young,all,15,180,15,male,older,all,10,19
32,6,male,young,all,15,180,22,female,young,all,75,90
33,7,male,young,hassibsp,17,34,8,male,young,nosibsp,15,146
34,7,male,young,hassibsp,17,34,10,male,middle,hassibsp,17,34
35,7,male,young,hassibsp,17,34,13,male,old,hassibsp,46,13
36,7,male,young,hassibsp,17,34,16,male,older,hassibsp,0,2
